cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
492	5040	3400	1590	510	10010	9800	1700	10010
456	825	4400	1870	770	10010	8700	1900	10010
396	720	3000	1690	770	10010	9200	1700	10010
336	870	2200	1750	730	10010	9800	1900	10010
468	9990	2700	1830	610	10010	8900	1600	10010
420	900	2800	1930	1050	10010	8800	1600	10010
336	735	3500	1730	870	10010	8500	1800	10010
396	10010	3300	1930	650	10010	10000	1600	10010
357	1185	10013	2290	690	10013	10013	1500	2400
391	990	5400	2390	890	10013	10013	1700	2700
391	1905	10013	2270	790	10013	10000	1500	2700
306	1125	10013	2390	850	10013	10013	1800	2700
323	1035	10013	2530	790	10013	9700	1600	2500
374	900	5800	1650	730	10013	10013	1600	2800
306	1095	7500	2210	870	10013	10013	1500	3100
442	1185	10013	2690	1110	10013	9900	1700	3200
459	1275	8700	2250	630	10013	9700	1400	3000
425	1440	7000	2450	910	10013	9600	1600	2500
425	1185	9400	2410	770	10013	9800	1600	3600
408	1185	6500	2370	750	10013	10013	1500	2400
357	1125	4400	2230	830	10013	10013	1600	3100
340	930	10013	2290	810	10013	9400	1500	2500
442	1395	5600	2470	850	10013	9200	1600	2400
323	1095	10013	2610	910	10013	9600	1300	2100
391	1335	10013	2790	1090	10013	9900	1800	2900
306	1200	6900	2450	910	10013	10013	1300	2600
408	960	10013	2590	630	10013	10013	1800	2800
459	1545	10013	1970	890	10013	10013	1500	2900
425	1005	3500	2390	930	10013	10013	1600	2400
255	1485	10013	2390	690	10013	10013	1700	2900
391	1245	3200	2310	950	10013	10013	1500	2700
323	1755	10013	2410	670	10013	10013	1400	2500
442	1200	10013	2210	730	10013	10013	1700	2700
306	870	10013	2270	650	10013	10013	1500	2700
442	1455	10013	2350	890	10013	9400	1700	3300
340	1050	10013	2730	870	10013	10013	1600	2700
459	1185	10013	2550	1110	10013	10013	1500	2600
510	1290	10013	1890	750	10013	10013	1500	2500
475	1260	10013	2390	2650	10013	10013	1900	3400
627	1665	10013	2830	2730	10013	9900	1900	3500
532	1320	10013	2710	2670	10013	9600	1900	4500
418	1245	10013	2650	2050	10013	9400	1500	3600
570	1875	10013	2730	2210	10013	10000	1700	4400
475	1380	10013	2190	2670	10013	9800	1800	4500
399	2160	10013	2370	2210	10013	9100	1700	3400
608	1365	10013	2670	2250	10013	8500	1700	2800
513	1335	10013	2250	2170	10013	9700	1800	3300
532	1485	10013	2630	1710	10013	10013	1700	4000
475	1905	8000	2430	3190	10013	8800	1700	3900
627	1800	10013	2630	1790	10013	10013	1700	4100
437	975	10013	2790	3610	10013	9400	1700	3300
456	1620	10013	2750	2830	10013	9700	1700	3200
608	1425	10013	2450	2710	10013	9600	1800	3500
570	1620	10013	2730	3270	10013	9900	1800	4100
456	1605	10013	2850	3250	10013	9600	1700	4000
513	1620	10013	2670	1850	10013	10000	1700	3900
608	1920	10013	2730	2530	10013	9700	1700	3500
551	1395	10013	2590	2150	10013	9500	1500	2600
399	1335	10013	2350	1650	10013	9100	1700	4100
418	2070	10013	2790	3030	10013	8900	1700	4400
475	1500	10013	2550	2490	10013	10013	1800	4200
494	1305	10013	2690	1870	10013	10013	1800	3300
570	1200	10013	2570	2110	10013	10000	1900	2900
570	1725	10013	2890	3170	10013	10013	2000	4300
494	1665	10013	2730	1690	10013	9600	1800	4000
494	2265	10013	2750	2170	10013	9000	1500	2700
456	1530	10013	2790	1850	10013	10013	1800	3300
532	1770	10013	2430	2030	10013	10013	1800	3800
660	1080	9000	2410	10010	10010	2900	1200	4200
814	1545	5500	2110	10010	10010	3300	1200	5400
792	1245	4000	2010	10010	10010	3000	1000	5300
770	885	10010	2350	10010	10010	2500	1000	5400
572	1275	3400	2250	10010	10010	3200	1400	6100
682	1695	6900	2510	10010	10010	3100	1200	5700
726	1290	5600	2050	10010	10010	2900	1200	4700
682	1065	10000	2050	10010	10010	3000	1400	5800
616	870	5300	2290	10010	10010	3000	1200	5200
726	1110	9700	2010	10010	10010	2900	1200	5200
726	1455	3800	2190	10010	10010	3700	1500	5300
748	1095	10010	2170	10010	10010	2600	1100	6900
638	750	4100	2030	10010	10010	2600	1200	6400
704	1290	4100	2190	10010	10010	2200	1100	4800
616	1200	5300	2430	10010	10010	2600	1000	3900
924	1320	10010	1990	10010	10010	2900	1100	6100
682	1215	3800	2370	10010	10010	3000	1400	5300
902	1185	9200	2550	10010	10010	2800	1300	5800
814	1485	4800	2410	10010	10010	3200	1300	4100
924	1260	5300	2130	10010	10010	3100	1100	5100
594	1425	10010	2190	10010	10010	2800	1200	4400
726	1665	10010	2270	10010	10010	3100	1400	5000
616	1650	5000	2430	10010	10010	3100	1300	6000
792	1275	10010	2610	10010	10010	3300	1300	4700
572	1080	10010	2370	10010	10010	3300	1100	6400
726	1320	7500	2510	10010	10010	2400	1100	5300
616	1275	5200	2470	10010	10010	3100	1200	5100
682	975	6500	2290	9430	10010	3400	1100	5600
572	1380	5400	2390	10010	10010	2700	1400	4200
946	975	10010	2370	10010	10010	3900	1300	4500
420	2010	3100	10010	1470	830	10010	9200	4700
528	9975	3900	10010	1570	830	10010	9300	4700
504	3915	4600	10010	1450	790	10010	9600	4800
444	10010	3000	10010	1450	790	10010	9500	5000
492	3195	2700	10010	1450	770	10010	9300	5000
480	10010	4100	10010	1550	870	10010	9300	4700
492	3075	3800	10010	1530	770	10010	9300	4800
468	10010	3000	10010	1490	790	10010	9400	4900
420	8580	4500	10010	1530	830	10010	9000	4700
504	2370	4200	10010	1450	750	10010	9800	5100
516	1740	2100	10010	1530	770	10010	9300	5100
480	1935	3200	10010	1470	750	10010	9400	5000
492	10010	4100	10010	1410	770	10010	9300	4800
516	3030	4400	10010	1490	810	10010	9400	4800
540	3150	7100	10010	1510	810	10010	9300	4900
432	3600	2900	10010	1550	870	10010	9200	4700
432	10010	4800	10010	1530	790	10010	9600	5000
420	4995	2600	10010	1450	810	10010	9400	4900
468	4080	5400	10010	1550	810	10010	9500	5000
432	2940	6400	10010	1490	830	10010	9000	4700
384	6165	2600	10010	1530	810	10010	9300	4800
468	2295	5100	10010	1410	730	10010	9500	5000
456	1410	5700	10010	1490	830	10010	9500	4900
504	10010	6300	10010	1530	810	10010	9300	4800
492	3615	3600	10010	1470	770	10010	9200	4700
480	2520	5700	10010	1530	830	10010	9100	4800
384	4605	2000	10010	1550	830	10010	9300	4700
480	2535	3800	10010	1550	850	10010	9300	5000
480	2490	4600	10010	1430	790	10010	9200	4700
444	2835	10010	10010	1490	770	10010	9400	4800
697	1140	10013	10013	1070	570	10013	6600	3500
663	1125	9400	10013	1090	610	10013	6700	3400
663	1260	10013	10013	1090	630	10013	6600	3500
561	1110	10013	10013	1050	590	10013	6400	3300
663	1260	10013	10013	1130	610	10013	6500	3300
612	1005	2300	10013	970	550	10013	6400	3400
714	1275	4500	10013	1070	610	10013	6600	3500
697	1290	10013	10013	1110	650	10013	6600	3500
646	1050	3000	10013	1010	550	10013	6600	3400
646	1050	2700	10013	1030	570	10013	6500	3400
663	1110	10000	10013	1070	590	10013	6400	3300
595	1095	4400	10013	1050	570	10013	6600	3600
629	975	1400	10013	1090	630	10013	6500	3400
595	1140	9700	10013	1030	570	10013	6200	3400
646	1230	1700	10013	1070	610	10013	6400	3500
646	1215	5700	10013	1110	670	10013	6400	3400
595	960	6200	10013	1110	630	10013	6400	3500
646	1140	8900	10013	1110	650	10013	6300	3400
612	1140	7100	10013	1130	650	10013	6800	3500
612	975	2700	10013	1010	590	10013	6500	3600
612	855	2300	10013	1090	610	10013	6400	3400
663	1125	5300	10013	1090	610	10013	6600	3500
646	975	1300	10013	990	570	10013	6800	3500
646	1020	9100	10013	1070	610	10013	6300	3200
612	1005	3400	10013	970	550	10013	6400	3500
646	975	9600	10013	1070	630	10013	6300	3500
697	975	6600	10013	1130	630	10013	6600	3500
646	930	7100	10013	1090	630	10013	6300	3500
612	885	10013	10013	1130	610	10013	6700	3500
646	1410	10013	10013	1090	630	10013	6300	3300
703	945	10013	9950	890	510	10013	5500	2900
760	930	2000	9970	970	590	10013	5500	3000
703	930	10013	10013	950	590	10013	5600	3000
779	795	10013	9830	950	530	10013	5400	2800
703	1260	10013	10013	930	530	10013	5600	3000
741	1050	5700	9830	830	490	10013	5500	3000
684	945	10013	9910	890	510	10013	5400	2800
722	990	3400	10013	950	550	10013	5400	2900
779	1095	2300	9730	930	510	10013	5400	2900
684	1095	9100	10013	930	530	10013	5600	3000
722	1140	4600	9510	890	530	10013	5400	2800
798	1095	10013	10013	990	550	10013	5400	3000
703	1080	10013	10013	990	590	10013	5400	2800
703	975	10013	10013	930	550	10013	5300	2800
760	915	10013	9870	850	490	10013	5700	3000
665	1005	10013	10013	930	530	10013	5400	3000
741	945	10013	10013	910	510	10013	5500	2900
741	1005	10013	10013	910	490	10013	5600	2900
779	1020	10013	10013	930	590	10013	5500	3000
684	1035	3100	9970	930	490	10013	5400	2800
703	975	10013	9730	890	570	10013	5600	2800
703	1005	10013	10013	910	530	10013	5400	3000
722	945	10013	10013	930	530	10013	5600	3100
741	900	4300	9990	930	530	10013	5500	2900
684	960	10013	10013	890	490	10013	5400	3000
684	1035	7500	10013	930	550	10013	5500	2900
703	900	10013	10013	890	490	10013	5700	3000
684	930	10013	10010	890	510	10013	5400	2800
741	1170	3500	10013	850	490	10013	5700	3200
741	1065	10013	9910	1010	610	10013	5600	3000
814	1080	10010	10010	930	570	10010	5400	3000
880	1170	10010	9730	910	590	10010	5200	2700
836	1350	10010	9630	930	590	10010	5300	3000
836	1350	10010	9990	970	610	10010	5300	3100
770	1350	10010	9790	910	590	10010	5500	3200
792	1230	10010	10010	930	590	10010	5300	3000
726	1245	10010	9490	910	530	10010	5600	3000
814	1035	10010	9470	910	550	10010	5300	2900
792	1290	10010	9810	830	510	10010	5300	2900
792	1350	10010	9390	890	570	10010	5400	3000
792	1140	10010	9390	850	550	10010	5400	3000
836	1305	10010	9770	910	570	10010	5200	2900
792	1215	10010	9410	950	590	10010	5400	3000
836	1305	10010	9850	890	570	10010	5400	3000
792	1155	10010	9770	950	610	10010	5000	2800
770	1110	10010	9610	930	590	10010	5400	2900
792	1170	10010	10010	1030	650	10010	5200	2900
924	1170	10010	10010	950	610	10010	5500	3100
836	1065	10010	9830	910	550	10010	5400	3000
792	1020	10010	9470	910	590	10010	5700	3100
880	1260	10010	9570	890	530	10010	5300	2900
880	1305	10010	9710	950	610	10010	5300	3000
792	1110	10010	9970	870	550	10010	5600	3300
836	1275	10010	10010	1070	710	10010	5300	3000
