cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.0173749	1.74283	1.34226	2.531	3.74304	3.78255	0.210009	2.68878	3.69775
0.030316	1.77124	1.07618	2.36259	3.76028	3.78144	0.206093	2.67742	3.68936
0.0173511	1.35338	1.45541	2.45704	3.78518	3.8055	0.177647	2.58479	3.75274
0.0343605	1.33974	1.30424	2.45887	3.62718	3.73703	0.160009	2.64991	3.66425
0.020627	1.4692	1.27004	2.42417	3.75059	3.76658	0.167353	2.61295	3.7012
0.036501	1.36403	1.50644	2.2141	3.62145	3.73747	0.17579	2.68949	3.68345
0.0169985	1.45563	1.3604	2.27687	3.78186	3.79404	0.16099	2.62704	3.61118
0.0356399	1.30603	1.35701	2.38904	3.61167	3.73631	0.186704	2.67562	3.64436
0.0258945	1.43999	1.2617	2.27312	3.73976	3.77313	0.235244	2.69114	3.73596
0.0203994	1.36605	1.53473	2.28701	3.69278	3.73102	0.212765	2.67751	3.72055
0.0465089	1.49946	1.4441	2.21531	3.63722	3.80797	0.169779	2.65799	3.57104
0.0922295	1.77247	1.58342	2.24983	3.64812	3.67469	0.185604	2.64025	3.7015
0.0279833	1.39776	1.48918	2.3454	3.70756	3.71224	0.196438	2.68161	3.70732
0.0230835	1.37973	1.18402	2.22762	3.5992	3.68302	0.162844	2.59891	3.71814
0.0254287	1.47056	1.34615	2.37446	3.65973	3.7313	0.186083	2.61484	3.68716
0.0208271	1.28789	1.48796	2.42327	3.68187	3.77768	0.183243	2.69303	3.63285
0.0186906	1.36314	1.45048	2.16168	3.68211	3.71971	0.182646	2.63527	3.74527
0.0225115	1.43118	1.33225	2.37838	3.75156	3.78884	0.183613	2.62112	3.65013
0.0327324	1.56159	1.58564	2.19293	3.67138	3.75355	0.192751	2.60401	3.71407
0.0226428	1.45811	1.49287	2.28238	3.77026	3.79691	0.181222	2.69196	3.68797
0.0205699	1.38802	1.25334	2.29677	3.711	3.7457	0.186349	2.69591	3.73365
0.0349823	1.29267	1.23246	2.22501	3.70622	3.78334	0.196746	2.65415	3.66305
0.0278066	1.65281	1.13928	2.38141	3.72326	3.73745	0.176782	2.61036	3.69358
0.0193133	1.52441	1.27212	2.3751	3.74495	3.74495	0.174649	2.67298	3.65042
0.0455207	1.45094	1.41243	2.38734	3.70588	3.71588	0.176895	2.59396	3.68487
0.0405973	1.5086	1.33029	2.54096	3.78278	3.81654	0.168695	2.64563	3.66033
0.0445917	1.37474	1.19442	2.35276	3.68656	3.68656	0.180727	2.6519	3.68656
0.0276597	1.57573	1.5223	2.31981	3.7428	3.74348	0.159962	2.63962	3.68281
0.0232616	1.70904	1.25434	2.41387	3.72142	3.79149	0.218692	2.66167	3.62628
0.0350939	1.30455	1.40655	2.35866	3.69583	3.70026	0.176937	2.59935	3.69082
