cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.0475516	7.60819	11.543	1.15761	8.26094	14.9371	10.7741	4.79612	9.11814
0.0478913	7.60102	11.6994	1.2267	8.43803	14.513	10.9254	4.98	8.84923
0.0510141	7.71003	11.4714	1.16807	8.8401	14.5458	10.6385	4.83931	8.78283
0.0458333	7.88899	11.428	1.17338	8.60104	14.8803	10.7098	4.83726	9.26675
0.0519207	6.67114	11.8221	1.29429	8.77891	14.953	10.7908	4.78301	9.24438
0.0488794	7.09882	12.0104	1.06575	8.03431	14.5463	10.6363	4.99798	9.04483
0.0424363	7.62653	11.6401	1.23158	8.68073	13.8616	10.6046	4.69203	8.93484
0.0535224	7.1631	11.6234	1.1526	8.80305	14.9324	10.7373	4.79334	9.21896
0.048266	7.59253	11.5333	1.08059	8.30665	14.1617	10.7484	4.7341	8.58856
0.0419394	7.8637	11.3847	1.28919	8.54631	14.4222	10.5718	4.65104	8.77079
0.0447825	7.69682	10.7685	1.12914	8.5001	14.2237	10.5364	4.77747	8.64707
0.0641244	7.6302	12.0676	1.20873	8.16318	14.7494	10.7621	4.9006	8.96534
0.0546728	7.72856	11.9825	1.3025	8.59711	15.2422	10.6686	4.79894	9.01628
0.0434567	7.21043	11.9425	1.25643	8.46446	14.7711	10.7171	4.77677	9.003
0.0546941	7.39822	11.8816	1.13686	8.70772	13.9379	10.9369	4.83553	8.85322
0.053734	7.42648	11.7227	1.17875	8.67813	15.1504	10.761	4.7384	8.93862
0.0435549	7.46504	11.9136	1.18676	9.09868	14.7189	10.8185	4.879	9.15652
0.0561194	8.15993	11.9407	1.33473	8.20776	14.6154	10.7945	4.92907	8.55356
0.057788	7.57388	11.4221	1.30236	8.16742	14.8704	10.7766	4.78686	8.79537
0.0516638	7.29924	11.0015	1.10217	8.56766	14.0507	10.7389	4.74803	8.90691
0.0540419	7.32611	11.6135	1.14788	8.21253	14.4182	10.7912	4.72254	9.04799
0.0452717	7.96129	11.9403	1.29281	7.95783	14.7909	10.5668	4.89539	9.08837
0.0590311	8.24214	11.6578	1.27392	8.29562	14.7667	10.9745	4.98828	9.12675
0.0568207	7.42612	11.5607	1.17992	7.96809	14.3992	10.9478	4.55425	9.26028
0.0576223	7.00343	11.4014	1.21822	8.3777	15.1328	10.649	4.81568	9.18741
0.0546082	7.43906	12.0199	1.26085	8.66121	14.6855	10.9403	4.81973	8.97202
0.0537919	7.84865	12.1165	1.23324	8.25842	14.8257	10.6905	4.62447	8.42086
0.0461011	7.72769	11.7123	1.26219	8.58917	14.617	10.6221	4.43568	9.16063
0.0511578	8.47345	11.3511	1.20533	8.26466	14.6822	10.716	4.83855	8.93136
0.0469504	8.07861	11.6135	1.18791	8.06614	14.4519	10.7234	4.89549	8.8444
