cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
4.4088e-14	9.0043	5.00171	24.3209	0.663359	1.20451	40.4079	8.36407	1.33851
4.57735e-14	11.0535	5.90963	25.3476	0.656242	1.3175	40.2662	8.61401	1.47205
3.57485e-14	8.11582	8.12931	24.8587	0.639858	1.00762	40.7164	9.50298	1.44071
4.01158e-14	13.3278	5.79478	24.9117	0.658325	1.43001	40.7319	9.56506	1.54035
4.46569e-14	10.0023	7.6877	25.0345	0.631079	1.2663	40.6012	8.43995	1.28171
3.98395e-14	11.3784	7.98433	24.8398	0.480538	1.28635	40.4627	8.27895	1.12398
4.77308e-14	9.54015	6.23718	25.3026	0.599961	1.34582	40.4202	8.48393	1.41235
6.10974e-14	12.89	4.53781	24.7341	0.509475	1.21795	40.7203	8.61191	1.37673
5.23347e-14	11.0204	5.90623	24.8405	0.581732	1.15529	40.5257	7.54156	1.44835
4.66949e-14	9.95053	6.35938	24.5695	0.677267	1.04284	40.7264	10.3296	1.45148
4.65256e-14	5.33121	3.07217	24.9206	0.709664	1.06209	40.7696	8.88184	1.30667
3.85514e-14	8.29693	7.55126	25.1718	0.606579	1.18571	40.8377	9.54931	1.36279
5.01172e-14	15.9586	8.33993	25.0408	0.670391	1.17099	40.2795	8.50035	1.47124
4.03511e-14	8.81937	7.24374	25.2667	0.607167	1.36395	40.669	9.00524	1.37877
4.96745e-14	6.09435	10.1547	25.565	0.623451	1.34947	40.1778	8.62448	1.3417
4.73325e-14	8.95294	5.00337	25.3051	0.68678	1.2662	40.8202	7.85122	1.06664
4.38728e-14	12.4181	9.03769	25.3401	0.602842	1.09613	40.4949	9.42475	1.1425
5.56088e-14	10.7567	3.64674	25.0179	0.625606	1.23414	40.4547	9.3716	1.20213
6.05266e-14	9.50695	6.50709	24.9281	0.612941	1.10432	40.6473	8.67653	1.2556
4.47628e-14	7.68518	8.81686	24.6761	0.593343	1.25495	40.4197	7.37769	1.3199
4.27065e-14	10.0459	5.35211	24.6589	0.619761	1.35497	40.7012	8.87965	1.39372
4.24843e-14	6.31849	6.96434	24.8416	0.683382	1.37683	40.7261	9.2794	1.34483
4.22235e-14	3.64144	8.21731	24.4347	0.688852	1.2349	40.4047	9.03443	1.50841
3.71339e-14	11.969	7.93484	25.2552	0.667061	1.32351	40.8191	8.78885	1.2223
4.01158e-14	10.3692	7.45319	25.0395	0.631068	1.29784	40.79	8.24235	1.41843
4.333e-14	8.30728	7.87382	24.9404	0.523485	1.23959	40.4551	8.39857	1.40052
3.62742e-14	9.57203	2.86172	24.8702	0.672716	1.10057	40.4764	8.26241	1.36333
5.14531e-14	7.98779	7.53739	24.5888	0.696448	0.909425	40.437	8.27497	1.15661
4.842e-14	6.28274	7.9013	24.7514	0.556756	1.17975	40.6475	8.37947	1.31817
3.64045e-14	9.65106	11.6624	25.0579	0.654047	1.13277	40.879	9.21937	1.39991
