cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.00821708	0.0729788	0.0315589	0.0137683	0.413471	0.476202	0.00517206	0.153774	0.437868
0.00484264	0.0665763	0.0299393	0.0141968	0.433001	0.525182	0.00521931	0.164611	0.445288
0.00761627	0.0913213	0.0447261	0.0137791	0.432768	0.509498	0.00492912	0.158238	0.443729
0.00648664	0.0697444	0.0346098	0.0114941	0.437664	0.472774	0.00513532	0.180445	0.418541
0.00560147	0.0746864	0.0365802	0.0139283	0.477579	0.531662	0.00590845	0.137957	0.467574
0.0105984	0.0759445	0.0442298	0.0121255	0.477361	0.538835	0.00421698	0.163018	0.45526
0.00954861	0.0742561	0.0364031	0.0118727	0.396453	0.499086	0.00466642	0.15818	0.459686
0.00585818	0.0592078	0.0461264	0.0118623	0.426543	0.530855	0.00531941	0.161209	0.440382
0.00533573	0.0607124	0.0240493	0.0146757	0.436187	0.470333	0.00620245	0.152842	0.429886
0.00622424	0.0606271	0.0459667	0.0129114	0.382303	0.469153	0.00740046	0.167606	0.436149
0.00706864	0.0742492	0.037386	0.0134157	0.433829	0.481979	0.00595253	0.161538	0.419603
0.0077716	0.0789879	0.0475932	0.0123782	0.441517	0.521699	0.00405167	0.164178	0.465745
0.00789045	0.0808726	0.0312254	0.0135396	0.400333	0.480167	0.00395237	0.164672	0.426734
0.00683654	0.060446	0.0340086	0.013151	0.399788	0.444678	0.00412634	0.172355	0.443203
0.00983293	0.0840167	0.0508039	0.0112255	0.441882	0.511503	0.00439423	0.161511	0.45189
0.00642101	0.0715025	0.0348193	0.0130763	0.446265	0.499181	0.00379546	0.172501	0.426737
0.00705668	0.0821621	0.0317523	0.0122841	0.391523	0.424046	0.00486617	0.159716	0.421916
0.00511034	0.072162	0.0421264	0.0119875	0.404146	0.506003	0.00479094	0.16111	0.473675
0.00659327	0.0811028	0.0258449	0.0126105	0.470071	0.542266	0.00661188	0.163613	0.455208
0.00700017	0.0539647	0.0330014	0.0117845	0.440593	0.493637	0.0054834	0.158396	0.404792
0.00653649	0.0557691	0.0304298	0.0112587	0.385526	0.457345	0.00508327	0.173522	0.437916
0.0102189	0.0598227	0.0400482	0.0123839	0.415044	0.48809	0.00427409	0.166236	0.448215
0.00634226	0.0549893	0.0351066	0.0128723	0.428607	0.500905	0.00452269	0.162577	0.435199
0.00823351	0.0616882	0.0378019	0.0133084	0.394613	0.505988	0.00449711	0.164153	0.431361
0.00846712	0.0685284	0.0354498	0.0127997	0.435867	0.522836	0.00532226	0.161638	0.449571
0.00911117	0.0612914	0.0279246	0.0136056	0.467875	0.51326	0.00512079	0.15369	0.423099
0.0082452	0.059096	0.0386841	0.0110498	0.396918	0.451452	0.00482511	0.151876	0.457457
0.00706619	0.0730616	0.0393057	0.011658	0.426424	0.470014	0.00449138	0.17022	0.474415
0.00843677	0.0495616	0.0316654	0.0109232	0.418346	0.477687	0.00481661	0.16831	0.435294
0.00777691	0.0826983	0.0447103	0.0142531	0.424035	0.512345	0.00487886	0.151726	0.445315
