cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.000160703	3.5388	6.98682	0.372922	3.84265	7.43868	6.44949	2.73004	4.92824
0.000235249	3.51313	5.95577	0.35732	4.09129	7.90532	6.41071	2.68753	4.94328
0.000244922	3.19503	6.44824	0.359988	3.83719	7.62039	6.59346	2.66333	5.16408
0.000247519	4.68231	7.13561	0.363262	4.19807	7.60488	6.23577	2.72583	5.13259
0.000295227	2.82103	7.22783	0.355067	3.75031	7.59888	6.54514	2.61056	5.0201
0.000277275	4.37584	5.99107	0.375341	3.875	7.29348	6.16157	2.65623	5.06737
0.00020112	4.34649	6.19361	0.386833	3.98247	7.24394	6.43636	2.66632	5.19629
0.000392236	3.56099	6.51477	0.360009	3.85807	7.6964	6.37417	2.54004	5.30583
0.000195521	3.74402	6.38338	0.346646	3.63572	7.3405	6.43627	2.67355	5.03743
0.000226267	3.98608	6.16999	0.366206	3.9187	7.72295	6.38902	2.64976	5.18656
0.000283785	3.64944	6.39909	0.355343	3.7391	7.62106	6.46875	2.68159	5.23666
0.000352908	3.68359	6.31286	0.364312	4.09892	7.56485	6.36156	2.62405	5.15369
0.000250809	3.94437	5.90858	0.351427	3.82283	7.66539	6.22421	2.6471	4.72709
0.000295046	3.89079	6.48315	0.364037	3.89434	7.32682	6.35966	2.58962	5.2397
0.000343331	3.58343	6.112	0.347239	3.71193	7.29567	6.30822	2.72762	5.18695
0.000283904	3.74851	6.79639	0.354742	3.81927	7.67376	6.6495	2.60154	5.21049
0.000305078	3.25858	6.89505	0.377681	3.97495	7.6495	6.3754	2.66319	5.30491
0.0001959	3.45789	6.26728	0.371315	3.86191	7.55625	6.40015	2.66543	5.18893
0.000259243	3.9524	6.59722	0.347845	3.81792	7.44812	6.5628	2.6079	5.20428
0.000303982	3.78648	6.47845	0.358978	3.76087	7.59049	6.15667	2.55126	5.26871
0.000308619	3.5694	5.65036	0.343985	4.25465	7.82807	6.44775	2.66384	5.1371
0.000246041	3.29096	7.0218	0.364864	4.02602	7.59867	6.54327	2.65874	5.49265
0.000280535	4.11103	5.29359	0.384792	4.18127	8.08962	6.31963	2.74336	5.20533
0.000309752	3.60526	7.19961	0.350234	3.76313	7.42886	6.48578	2.5841	5.33595
0.000232074	3.72968	6.46539	0.35676	3.98353	7.20849	6.64057	2.77086	5.08183
0.000238785	3.56586	6.70923	0.348864	4.02669	7.62086	6.30869	2.64253	5.41809
0.000293787	3.68008	6.61823	0.32672	3.8327	7.55811	6.64358	2.74006	5.17943
0.000276612	3.98559	7.13477	0.355843	3.82483	7.24325	6.58004	2.72913	5.02265
0.000252289	3.59674	6.99214	0.342222	3.8405	7.39833	6.50537	2.73224	5.04634
0.000308446	3.0939	6.9096	0.33453	3.78296	7.84554	6.32119	2.51972	5.31268
