cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
3.62953	160.868	12.2202	7.98055	157.888	157.888	1.95515	58.5938	146.533
2.887	153.728	14.0394	9.09117	156.501	156.501	1.88665	58.9182	152.282
3.1191	153.75	12.0216	8.00932	152.296	152.296	1.58329	58.1088	142.076
2.89928	154.615	9.86655	7.20074	151.804	151.804	2.05585	55.8424	148.093
3.12059	156.104	17.856	8.22815	152.416	152.416	2.20565	52.3648	153.184
3.0763	160.546	12.2883	8.52938	153.036	153.036	2.10851	57.9378	153.673
3.18205	155.408	12.2066	7.39549	149.895	149.895	1.77283	55.522	149.895
2.9702	157.596	11.3158	7.64731	152.747	152.747	2.01239	56.1635	151.744
2.49951	156.049	13.7369	8.64257	149.504	149.504	1.98564	55.5411	151.293
2.92283	154.361	15.8901	8.69896	152.95	152.95	2.04365	55.3837	152.225
3.0695	156.637	13.9782	7.54674	150.33	150.33	2.30921	56.7714	151.008
2.97287	161.897	13.6408	8.13175	149.375	149.375	1.58598	54.6899	150.832
2.7012	153.245	19.0423	8.90279	155.1	155.1	1.91696	58.9625	152.401
3.04522	156.657	11.7669	7.54411	152.91	152.91	2.45646	56.5526	148.478
2.86361	160.633	13.5935	8.6209	150.569	150.569	2.56736	58.6649	154.177
2.67772	161.053	12.5356	8.26228	153.723	153.723	1.73467	58.1095	146.299
2.50623	44.7073	10.9686	7.94548	156.108	156.108	2.18198	57.2711	155.071
3.06372	150.623	15.1375	8.68524	153.816	153.816	1.49473	53.3266	145.847
2.61031	157.945	13.1481	8.37316	156.539	156.539	1.81867	56.0979	153.272
2.11314	149.971	13.1417	8.17565	152.658	152.658	2.1368	56.312	150.363
2.89095	160.189	13.8688	7.51229	151.926	151.926	2.00583	56.031	145.761
2.85678	154.239	14.1871	8.58825	152.973	152.973	2.33208	54.5859	145.029
3.5074	157.496	12.1101	7.54418	146.565	146.565	2.25515	60.2248	151.669
3.63655	157.146	12.318	7.43053	145.942	145.942	1.92117	58.5906	144.853
2.82842	154.517	13.3661	7.60716	152.788	152.788	2.0035	56.3546	151.815
2.16256	152.372	14.885	8.91931	155.116	155.116	2.17679	55.5489	153.019
2.85853	157.157	14.9325	8.85599	158.829	158.829	1.99324	56.979	145.722
3.00228	156.005	9.94264	7.72068	156.763	156.763	2.1166	56.8723	150.062
2.27928	158.769	13.0228	8.23419	147.09	147.09	1.92658	57.2161	146.628
2.232	156.808	11.8998	7.66436	149.448	149.448	1.94705	56.6284	152.621
