cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
33.249	166.624	207.064	204.897	58.4135	58.1946	219.567	189.892	161.183
32.1211	164.232	211.62	204.323	59.5972	60.3466	219.622	189.089	160.083
32.6438	166.073	208.037	204.179	56.7234	60.9776	219.855	188.546	160.21
30.5148	171.852	211.756	204.766	58.6075	58.1263	219.57	189.515	162.212
32.5911	168.566	209.562	204.366	59.8657	59.3775	219.794	189.964	161.848
32.8935	166.162	212.805	204.833	58.6695	61.057	219.827	188.679	160.08
33.224	164.504	211.805	203.846	57.6351	60.9959	219.604	188.978	160.282
34.817	166.143	210.351	203.81	57.0137	61.1462	219.648	188.187	159.332
33.4944	165.081	207.552	204.406	56.0625	58.8064	219.451	188.836	159.976
33.1812	166.638	211.55	203.682	54.8082	58.4427	218.826	188.74	160.059
33.0987	166.793	208.437	203.581	54.5367	58.3367	219.644	188.779	160.996
33.239	165.385	214.441	204.344	59.6252	60.8985	219.838	189.172	160.588
31.5375	163.724	209.446	203.713	54.5432	60.8503	219.379	189.487	161.428
32.6333	165.804	208.36	204.483	57.3371	60.8888	219.636	189.726	161.538
33.1137	164.763	212.189	204.316	57.3573	58.4791	219.268	186.671	156.887
35.0618	165.378	212.778	204.049	58.1657	62.1782	219.737	188.871	160.461
34.0316	172.144	211.34	204.916	60.5877	62.1011	219.834	188.001	159.075
34.0426	165.296	208.503	204.987	58.5673	60.3708	219.706	189.154	161.623
33.4256	165.589	209.101	204.512	59.8198	59.3319	219.617	188.619	159.657
33.562	161.823	209.785	203.735	56.5731	57.9292	219.419	190.257	162.075
30.8799	166.457	215.342	204.02	55.7901	60.3464	219.548	188.374	159.225
33.8611	166.552	211.442	204.313	55.9041	58.5415	219.593	189.157	160.042
33.971	163.278	211.37	204.755	56.398	61.4746	219.21	189.685	162.373
32.1717	170.831	212.894	205.327	65.0092	61.5748	219.369	189.494	161.553
33.0627	167.374	212.072	204.534	53.4449	59.3782	219.46	189.761	162.123
32.9551	163.961	211.693	204.863	60.6373	61.0697	219.38	189.56	161.97
34.1319	162.912	211.444	204.857	57.8759	59.2346	219.881	189.086	159.571
35.2565	172.046	209.49	204.235	55.645	60.9273	219.606	188.53	158.966
33.996	159.954	209.583	204.507	57.0995	60.3293	219.978	189.783	162.141
35.2567	164.703	213.314	204.962	57.8022	58.9314	219.875	190.239	163.166
