cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.884752	82.3264	122.213	121.767	10.9293	17.5746	137.343	106.354	76.7226
0.938282	73.1599	116.652	121.729	10.3948	18.5538	137.355	106.9	77.4868
0.794574	82.7061	122.715	121.914	10.5553	18.9193	137.505	106.162	75.9706
0.831437	79.4471	122.836	121.553	10.3272	19.155	137.457	106.124	75.1247
0.758027	83.1075	126.664	122.056	10.6924	19.1028	137.499	106.887	78.1982
0.867991	78.2271	121.018	121.504	10.987	18.3614	137.439	106.316	76.254
0.721649	76.3728	124.257	121.607	10.6593	18.9242	137.086	105.667	75.2125
0.736381	84.4399	117.92	122.114	10.1902	18.3235	137.125	105.597	74.9708
0.927097	77.9227	117.732	121.29	9.48694	19.2449	137.276	106.537	76.6099
0.82734	77.9289	121.522	122.249	10.7701	18.6937	137.476	106.967	76.5769
1.02929	83.9776	118.836	120.899	10.4942	18.8457	137.613	105.662	75.319
0.81944	77.9316	124.369	122.544	10.8509	18.2442	137.117	105.678	75.5369
1.13452	73.9451	122.698	122.138	10.2012	19.2238	136.955	105.929	75.176
0.817155	81.0081	123.7	122.305	10.9125	18.0835	137.346	105.19	75.7875
0.901386	76.576	123.953	121.601	10.1322	18.6677	137.78	106.589	77.0622
0.736668	74.9628	124.019	122.305	10.1007	18.3392	137.546	106.361	77.1078
0.802473	80.5167	122.631	122.07	10.3426	17.6413	136.99	106.588	76.873
1.00471	80.9818	122.455	122.348	11.4251	18.0079	137.387	106.199	75.4765
0.828095	77.9612	123.349	122.323	9.59743	17.3948	137.517	105.63	75.7777
0.879834	80.4725	118.798	121.778	10.6872	18.2597	137.003	106.127	76.337
0.900292	76.0071	123.186	121.382	10.3144	19.1933	137.316	106.141	75.5005
0.753144	76.8986	122.047	122.544	10.7531	18.6153	137.238	105.186	75.2368
1.03919	80.2	123.236	122.153	10.9994	19.1322	137.468	107.196	77.7451
0.932176	78.714	120.348	121.814	11.0188	18.4532	137.259	106.251	76.6034
0.980623	82.6774	122.54	122.224	9.80948	18.7958	137.434	105.88	76.6307
0.869932	79.6387	121.004	122.426	10.752	18.5779	137.556	106.512	76.8543
0.885895	78.8088	125.78	122.105	10.6258	18.5727	137.72	107.134	76.6574
0.86814	76.0015	122.974	121.86	10.7546	18.1392	137.264	105.266	74.7252
1.00568	81.5229	117.354	122.234	10.8412	18.8178	137.385	106.545	75.9364
0.657545	77.7645	123.058	121.692	11.5606	18.3392	137.421	107.151	76.7407
