cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
1.82276	3.83057	1.6388	2.69928	3.80412	3.80412	0.467997	2.89049	3.79706
1.97772	3.77917	1.47398	2.61877	3.82218	3.82218	0.496501	2.87218	3.76598
1.74274	3.84334	1.67178	2.6075	3.73689	3.73689	0.526663	2.85615	3.72032
1.79127	3.83678	1.47942	2.71357	3.81724	3.81724	0.456165	2.93655	3.80238
1.89758	3.84311	1.73998	2.72164	3.76071	3.76071	0.52602	2.89882	3.78522
1.91098	3.80349	1.39251	2.66851	3.80648	3.80648	0.475725	2.8852	3.77596
1.93801	3.8353	1.72322	2.7158	3.82806	3.82806	0.405359	2.87398	3.79475
1.98472	3.82541	1.73997	2.70278	3.81069	3.81069	0.455039	2.92327	3.80166
1.74001	3.79487	1.48867	2.73967	3.80692	3.80692	0.454038	2.89431	3.79179
1.58738	3.79108	1.69221	2.63967	3.79108	3.79108	0.495458	2.86739	3.80701
1.59002	3.85235	1.60487	2.6561	3.82504	3.82993	0.441393	2.8727	3.80982
1.58546	3.79877	1.46384	2.59375	3.75129	3.75129	0.389286	2.85895	3.78822
1.76176	3.80584	1.40577	2.66221	3.81086	3.81086	0.469141	2.90151	3.78018
1.52316	3.86251	1.6225	2.53347	3.80853	3.80853	0.483188	2.90595	3.78029
1.98484	3.78096	1.59801	2.72735	3.7803	3.7803	0.424843	2.84387	3.75733
1.67004	3.8328	1.53761	2.80348	3.7937	3.7937	0.452028	2.90862	3.7749
1.6069	2.57742	1.48881	2.68326	3.83694	3.83694	0.450488	2.87962	3.78784
1.58048	3.80239	1.47278	2.62218	3.80193	3.80193	0.419827	2.89086	3.79112
1.81236	3.82507	1.55249	2.70551	3.81594	3.81594	0.413887	2.90756	3.81032
1.78164	3.80196	1.74459	2.75189	3.8056	3.8056	0.43671	2.86967	3.81109
1.6916	3.82012	1.59709	2.77304	3.83386	3.83386	0.443521	2.86929	3.7892
1.69521	3.79598	1.43979	2.686	3.77849	3.77849	0.444629	2.83427	3.8218
1.72546	3.81085	1.55273	2.52418	3.80641	3.80641	0.483981	2.93583	3.79019
1.61949	3.85126	1.63393	2.57046	3.74913	3.74913	0.418685	2.90994	3.77893
1.78764	3.81583	1.43338	2.69197	3.81021	3.81021	0.444914	2.86355	3.77079
1.52836	3.85516	1.57706	2.56933	3.80255	3.81651	0.51316	2.89837	3.78861
1.67077	3.80644	1.53319	2.71724	3.81964	3.81964	0.459401	2.86562	3.78991
1.78245	2.62774	1.46192	2.69113	3.85281	3.85281	0.480247	2.93995	3.78961
1.64151	2.72766	1.49825	2.59437	3.78582	3.78582	0.465301	2.87138	3.77944
1.87102	3.82751	1.43472	2.57351	3.81653	3.81653	0.525333	2.87196	3.74582
