cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.0500264	7.7298	11.954	1.22233	8.52398	14.8386	10.7534	4.8946	9.10538
0.0606403	7.53679	11.5041	1.27942	8.71458	14.1512	10.8424	4.95897	8.92672
0.0608431	7.83491	11.9506	1.32886	8.44208	14.4923	10.9115	4.91362	9.3141
0.0507204	8.17423	11.6354	1.08614	8.74237	14.4382	10.5491	4.73431	9.11671
0.0410215	7.21624	11.2469	1.3367	8.34477	14.1538	10.6754	4.86998	9.21774
0.0480194	8.14087	11.7591	1.07685	8.27737	14.4094	10.7345	4.6217	9.12069
0.0476872	7.519	10.8901	1.0629	8.74139	13.7805	10.5556	4.73905	8.86379
0.0522592	7.04562	12.0388	1.13823	8.60921	14.2787	10.8794	4.68423	8.88831
0.0527738	6.54394	11.3474	0.975354	8.86952	14.222	10.6539	4.79037	8.66909
0.0463659	6.39571	12.2742	1.30607	8.30978	14.6303	10.9213	5.00169	8.90824
0.0645071	7.69792	11.1455	1.06922	8.19554	14.6262	10.7016	4.8244	9.06723
0.0544399	7.84439	11.7786	1.4048	8.37438	15.0704	10.6761	5.03505	8.87535
0.0445132	7.84153	11.9139	1.17668	8.55956	14.4357	10.585	4.62218	9.13061
0.0510555	7.64358	11.8456	1.10145	8.43377	13.9744	10.8863	4.64362	8.79769
0.0510807	6.60588	11.9387	1.12824	8.6011	14.2405	10.7357	4.85625	8.99951
0.0414529	8.38547	11.5998	1.3403	8.41348	14.7853	10.8277	4.68702	8.8837
0.0516516	7.84078	11.2889	1.22564	8.12525	14.6456	10.6528	4.62656	8.67777
0.043486	7.51681	12.2033	1.24632	8.62888	14.3512	10.7698	4.7683	8.52222
0.0519065	6.49286	12.0586	1.19261	8.68499	14.7845	10.8813	4.58068	8.82952
0.0656742	7.59837	10.7716	1.21616	8.41135	13.9949	10.7765	4.6589	8.65842
0.0515578	7.54824	12.2199	1.09472	8.43415	14.3825	10.6519	4.89177	9.14817
0.0515825	7.3899	11.9446	1.23228	8.58367	14.3335	10.7101	4.62945	9.16969
0.0488591	7.22469	12.1192	1.26888	8.26551	15.0288	10.8494	4.67605	8.96306
0.0546459	7.27672	12.127	1.11325	8.49472	14.8377	10.8902	4.72227	9.16856
0.0517925	6.83636	11.4341	1.25941	8.4345	14.8143	10.6909	4.70979	8.9902
0.0522203	7.47298	12.0918	1.20729	8.4442	15.0137	10.8308	5.02456	8.21276
0.0522634	7.4094	11.6963	1.25934	8.21181	14.8572	10.8689	4.81784	9.03821
0.0484715	7.51238	11.5703	1.28385	8.35556	14.5948	10.4807	4.83922	8.57368
0.0488944	7.61236	11.5884	1.34945	8.56387	15.1338	10.6853	5.01637	8.81216
0.05527	7.61789	11.6864	1.13174	8.63644	14.1482	10.8868	4.77672	9.15056
