cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.260917	0.182195	0.0593676	0.0750144	0.585983	0.597431	0.0127192	0.207484	0.55758
0.229847	0.165321	0.0599799	0.0700762	0.590532	0.61417	0.012313	0.238246	0.568116
0.244466	0.148488	0.0623938	0.0621423	0.595195	0.614227	0.012625	0.250055	0.578225
0.241832	0.169058	0.0421194	0.0766078	0.627911	0.646418	0.014357	0.235725	0.578635
0.251645	0.160447	0.0597028	0.0763458	0.547957	0.566003	0.0146231	0.240964	0.566194
0.246049	0.148897	0.0553649	0.0760011	0.587177	0.599409	0.0149713	0.235112	0.579728
0.257191	0.148853	0.0517873	0.0687253	0.533481	0.555259	0.0114899	0.241754	0.576877
0.231615	0.128364	0.0506119	0.0699911	0.558349	0.559181	0.0151512	0.231022	0.556532
0.222033	0.147035	0.0546126	0.0765565	0.576031	0.591483	0.0129703	0.239569	0.563593
0.236699	0.191731	0.0460226	0.0812568	0.593032	0.611739	0.0125805	0.239539	0.562185
0.232938	0.212591	0.0506952	0.0705626	0.584862	0.610188	0.0135768	0.242096	0.574826
0.231535	0.14672	0.0494493	0.0725456	0.577595	0.59796	0.0123645	0.224027	0.547375
0.229055	0.165994	0.0501142	0.0794373	0.575052	0.586855	0.0187791	0.237328	0.558829
0.245198	0.18136	0.0421371	0.0689711	0.589828	0.603064	0.014043	0.237052	0.56019
0.205855	0.162273	0.0575529	0.0752308	0.597536	0.607469	0.0149674	0.2451	0.58164
0.245001	0.165272	0.0652957	0.0776128	0.587324	0.609147	0.0111458	0.239674	0.532865
0.25044	0.158527	0.0553669	0.0814216	0.576367	0.58932	0.0155948	0.223621	0.570893
0.197365	0.118567	0.058543	0.0692514	0.585506	0.606208	0.011461	0.244207	0.581184
0.231065	0.159132	0.0619816	0.0715671	0.578677	0.627408	0.0128302	0.240517	0.559111
0.233387	0.142693	0.0781003	0.0699275	0.578049	0.584626	0.012466	0.237617	0.564486
0.252287	0.164058	0.0561983	0.0671347	0.554595	0.563472	0.0146235	0.238463	0.582963
0.249432	0.125762	0.0479026	0.0675099	0.574584	0.599321	0.0136688	0.225135	0.561987
0.241548	0.132589	0.0548372	0.0826475	0.586421	0.603042	0.0161761	0.247297	0.539275
0.255608	0.132334	0.057114	0.0751998	0.577278	0.591456	0.0134234	0.238412	0.552066
0.259427	0.14464	0.0551359	0.0745775	0.563172	0.592975	0.0114103	0.230859	0.549722
0.221153	0.203905	0.0528889	0.070279	0.539293	0.542344	0.0157446	0.245299	0.554001
0.241265	0.204801	0.0555564	0.0770993	0.572313	0.587352	0.0160225	0.232927	0.575506
0.208768	0.179256	0.068315	0.0772409	0.565557	0.596422	0.0112512	0.232814	0.589251
0.208832	0.172682	0.0552118	0.0733243	0.58236	0.608924	0.0135448	0.241088	0.574484
0.24927	0.131771	0.0367351	0.0692255	0.605759	0.645304	0.014679	0.240017	0.5504
