cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
13.727	20.1493	16.9059	14.5646	38.1843	202.476	18.0551	45.3349	148.717
14.2798	19.601	18.2131	16.9432	49.545	166.577	18.2955	53.4119	127.738
15.0985	17.8144	18.6187	19.5552	45.6963	162.525	18.6701	51.3568	152.509
14.1552	18.2055	18.4897	18.5416	54.498	206.763	18.4842	45.342	184.483
14.0858	21.7582	19.4898	16.4298	61.0482	161.282	18.2587	56.2757	172.81
14.11	20.8737	19.1727	18.2241	58.4157	175.919	18.7572	52.4573	183.996
13.8678	20.7979	18.0273	18.7793	116.429	150.879	18.2332	52.012	137.295
13.8895	25.371	18.2752	18.0562	59.3713	184.109	19.2958	51.216	139.156
14.0492	25.6208	17.0021	19.7166	52.6517	169.075	18.1218	50.0284	160.138
13.9231	34.1629	18.2285	19.352	46.7931	191.326	19.1608	55.9499	111.971
14.0275	27.5272	18.2289	15.8893	65.9054	188.896	17.9491	58.4585	165.458
14.4142	19.7902	18.8558	16.8819	51.3585	154.767	17.8163	55.735	202.884
13.9515	16.3814	18.3148	17.2116	53.8302	142.647	18.4292	51.0129	99.6849
14.1879	26.4864	17.6454	18.4771	57.481	182.784	17.7786	41.7968	130.217
14.2147	18.5286	19.703	18.4415	53.9955	217.321	18.8481	48.0128	145.176
14.2672	18.7604	18.9475	19.4567	54.5463	131.278	18.4706	43.3072	151.962
14.2402	40.9039	19.3457	16.9705	63.4875	179.355	18.3643	54.9926	186.298
13.7265	20.0604	18.8469	19.7016	60.4968	197.264	18.6512	54.7143	170.346
13.8995	23.7817	19.3679	19.2511	57.4523	155.439	18.7172	40.4872	124.829
13.8025	22.3791	17.0585	19.1331	62.4298	151.097	19.5096	51.5395	132.278
13.7924	37.1734	18.5416	19.62	56.5089	213.646	18.578	53.7336	150.637
13.9598	34.4263	18.9453	17.6689	44.7285	203.957	18.3233	48.9387	122.473
14.1163	22.6329	19.2287	16.9089	49.012	89.9494	18.4609	51.7522	149.033
14.3022	20.5521	18.3219	19.7352	62.9995	162.838	18.4195	51.3366	149.624
14.0621	28.4501	19.4386	18.8094	68.5622	141.14	18.5474	57.3234	173.259
18.8171	25.9394	17.9376	19.0563	97.5068	143.535	18.1447	53.4738	188.322
12.9997	26.8605	19.4987	18.3109	52.2548	169.418	19.2786	48.7502	146.579
13.9406	22.9892	18.2555	17.9949	61.4459	162.74	18.2443	46.5423	138.467
18.4665	23.3149	18.6654	19.6536	64.2545	184.478	18.269	45.4508	143.494
19.2157	20.1885	17.9399	19.6695	58.5467	156.631	18.8434	49.2882	180.868
