cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.000213038	2.96406	6.84733	0.36771	3.86165	7.8909	6.34637	2.74507	5.41111
0.000243138	3.73075	6.84392	0.359486	3.97993	7.46079	6.3552	2.42989	5.11922
0.000239423	3.24632	6.36805	0.362696	3.45452	7.30181	6.2114	2.58281	4.72725
0.0002516	3.83142	7.07615	0.355292	3.9704	7.73916	6.31685	2.72033	4.80837
0.000206654	4.83731	6.93026	0.373694	3.86587	7.7014	6.14966	2.49265	5.38187
0.000294223	4.31625	5.31805	0.363088	3.83568	7.40464	6.51573	2.61939	5.48656
0.00028303	3.85161	6.52055	0.347332	3.72033	7.23794	6.28875	2.67897	5.01591
0.000264676	2.87692	6.1786	0.383061	3.87687	7.89376	6.33348	2.60657	5.20185
0.000185441	3.7178	6.92221	0.37966	3.77954	7.27429	6.2854	2.67555	4.93414
0.00024903	4.0705	6.67465	0.344146	3.75264	7.61824	6.5236	2.59163	4.79206
0.0003014	3.67585	6.61774	0.386891	3.55862	7.9353	6.45749	2.6848	5.04558
0.00022264	3.18913	6.44987	0.36365	3.95363	7.14274	6.45819	2.74043	5.20055
0.000280643	3.68466	5.84466	0.393329	3.64289	7.40737	6.09467	2.59147	5.10613
0.000300422	3.29937	6.74976	0.355005	3.92352	7.18149	6.32208	2.61865	5.0868
0.000263565	3.44835	6.13984	0.361366	3.68847	7.51754	6.28953	2.63915	5.16404
0.000274415	3.62453	6.74549	0.351217	4.00002	7.40072	6.51642	2.68222	5.32274
0.00024249	3.2915	6.36949	0.365243	3.83357	7.34486	6.43993	2.41341	5.21922
0.00022486	3.93537	6.90279	0.364807	3.9972	7.11654	6.24777	2.71497	5.51436
0.000343527	3.27302	6.38308	0.345031	4.0598	7.67707	6.54049	2.79623	5.17443
0.00031851	3.25539	6.73036	0.351205	4.05144	7.54593	6.52936	2.82024	5.35917
0.000257837	3.21822	5.5226	0.343267	3.7444	7.67826	6.46425	2.62069	5.14078
0.000298155	3.54884	7.0133	0.372716	3.72301	7.43875	6.56138	2.64492	4.95961
0.000275602	3.71568	5.63268	0.324812	3.80852	7.7548	6.41678	2.62467	5.43897
0.000236651	4.00035	6.53997	0.364959	3.76831	7.55896	6.64127	2.77029	5.32267
0.000324283	3.4953	6.27954	0.376306	3.78144	7.12693	6.43977	2.58524	5.08673
0.000233117	2.85763	6.27556	0.359938	3.82064	7.43167	6.36347	2.71441	5.33638
0.00030577	4.56558	6.25067	0.380919	3.94997	7.82594	6.46566	2.60355	5.36733
0.0002059	3.05857	6.85638	0.368543	3.62713	7.34593	6.68483	2.66826	5.15968
0.00027396	3.73038	7.39316	0.384313	3.81978	7.38718	6.48281	2.63919	5.24731
0.00026781	3.56621	6.51618	0.320711	3.79675	7.3077	6.51837	2.86158	5.50876
